GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
covertura,org.example,Main,4,0,0,0,2,0,2,0,2,0
covertura,org.example,PicoPlaca,44,55,25,8,9,13,17,4,0,2
